;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
COUNTRY;PRODUCT
World;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;3195398;3250631;3309476;3400192;3374886;3438149;3479095;3590520;3693436;3731448;3576305;3527160;3418030;3485243;3467912;3350222;3351106;3375518;3281815;2151647;2098556;1242552;1003108;923775;873879;1128445;881749;794415;792169;645098;677417;787327;861430;947631;1055962;1090868;1148555;1397343;1426381;1356790;1422438;1493260;1488506;1424389;1453844;1412998;1386649;1139075;1113543;..
World;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1532;1803;1312;1594;2157;6036;4654;5013;4654;4267;5451;5385;3673;3887;4060;2596;2169;2244;2254;2062;3031;2863;3031;2991;3088;3124;3042;2942;2704;2463;2024;2153;2175;2002;1718;..
World;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
World;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;42;465;465;507;253;211;211;169;169;211;211;211;211;211;211;211;127;0;0;0;0;0;1304;1431;0;0;3497;4939;0;0;0;0;0;0;0;0;0;..
World;Oil products;..;..;..;..;..;..;..;..;..;..;..;5355680;5797864;6000171;5491848;5120042;5679983;5612068;5864823;5476887;4915675;4546100;4240964;4309291;4374171;3864715;3978629;3919602;4038611;3848549;3928975;3966049;4122100;4267218;4241450;4294867;4517046;4405148;4189058;4506565;4108581;4257101;4155353;4211936;4239546;4114879;3852774;3774162;3713035;3585237;3646577;3507107;3362283;3482942;3293149;3429833;3507272;3463776;3284656;3154854;..
World;Natural gas;..;..;..;..;..;..;..;..;..;..;..;2762300;2932543;2947570;2977697;3388352;3674216;3631860;3829594;4129647;4025898;4053377;4252928;4168407;4556283;4627699;4611217;4765316;5217801;5349692;4860252;5100907;5042451;5244090;5380530;5732601;5948977;6020068;5877938;6018291;5991810;5942104;6023224;6428915;6618328;6610537;6717181;6997589;7259497;7048428;7342838;7276159;7147111;7766277;7733221;7712732;7806727;7990785;8586992;8722647;..
World;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
World;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
World;Geothermal;..;..;..;..;..;..;..;..;..;..;..;511;518;533;536;565;605;619;619;619;637;666;713;763;770;778;814;814;814;900;9049;9718;9826;9710;10292;23493;25895;27737;29020;37619;45791;44834;50335;56955;58162;62004;65555;68860;60999;64713;53336;63785;73813;84396;91884;87559;109252;131526;153057;174126;..
