;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
COUNTRY;PRODUCT
World;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;14498464;14642222;14889247;14763811;15065157;15174645;15938407;16723633;17236989;17421089;17481165;17153558;17334454;18519745;18302097;18229947;18871325;19671414;19478186;19063559;18736411;18106996;18013144;18154571;19375696;18425065;18129427;18448617;16527547;16697018;17054334;17342879;19229321;22854712;27275078;28896026;30810804;32199402;33265718;36229280;38421880;38313087;37976837;38265225;37195765;34870646;33633920;32759848;32556951;..
World;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;8156;8257;8701;8742;7084;8307;7269;9161;11615;12151;13709;15414;15766;15369;15697;20392;19008;16149;17241;31636;40474;15317;11774;16817;11443;15883;13557;20428;14990;12992;13830;12487;13218;10396;10161;12815;13247;12319;9445;11309;11282;9701;8499;9061;8811;11823;11515;12576;12174;..
World;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12501;3114;3024;2340;3312;4724;4418;2998;3237;1912;2147;1998;1702;1376;2142;3131;2445;3378;3186;1749;1716;3056;2101;1716;1376;643;390;798;1658;1729;..
World;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;534618;626212;687245;699327;768256;1001781;1092752;1322285;1163644;683414;677643;702427;740107;718099;520961;654451;740959;824733;766729;121667;161861;162679;157870;156369;168469;260503;213836;221536;237769;220854;227299;162850;148932;182963;190828;167465;203640;209861;321734;378503;289532;76282;192897;67456;133686;231951;96320;72017;65060;..
World;Oil products;..;..;..;..;..;..;..;..;..;..;..;16506728;17077971;18140341;18006335;17014039;18013896;19256255;18872787;20387518;19204521;17264063;16700736;15329378;14820497;14669521;14658083;14728511;14591414;14572081;13754672;13595075;13169736;12906818;12916361;12585437;12514390;12849297;12595741;12661878;13210097;13296618;13179920;13083687;13709897;13505303;13780852;13607269;13094320;12240686;13071695;11980386;12270609;12107390;11917114;12345387;12132488;12173653;12005337;12207833;..
World;Natural gas;..;..;..;..;..;..;..;..;..;..;..;13164962;13717237;14921561;15209495;14267547;15071400;15661001;15946188;16706169;17445714;17589789;16327450;16390689;17416914;16984242;16852063;17810682;18544647;18585457;15163683;14805892;14332012;14120094;14306439;15512778;15954640;16345144;16201951;16454309;17811642;17436385;17395100;17622614;17919424;18077527;18803976;19248965;19845439;18124085;20907982;21596240;22273414;22465320;22799194;22678179;23039209;23801521;24988947;25699532;..
World;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
World;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
World;Geothermal;..;..;..;..;..;..;..;..;..;..;..;1450;1574;1240;1226;1303;1267;1068;1058;1120;1043;1369;1532;1695;1538;1701;1597;1330;1453;1871;5019;5026;5147;5368;5511;7143;7367;7634;7880;12699;13299;14088;14177;13474;13977;14862;15349;16327;16765;16896;9743;9993;10911;10910;12265;11529;13444;15252;16802;18625;..
World;Solar/wind/other;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;167;392;614;793;929;1320;1704;2054;2592;3083;3392;4295;5210;5275;5330;5471;5592;5696;6057;6019;6339;6886;9683;13378;13811;14273;14827;15238;16063;17103;16689;..
World;Biofuels and waste;..;..;..;..;..;..;..;..;..;..;..;3309578;3426931;3578326;3673330;3537103;3752236;3888267;4005853;4030293;4090874;4217188;4360790;4613909;5109383;5020108;5129951;5442032;5452006;3917731;4269221;4298614;4495703;4433929;4678026;4970411;5084883;5343791;5513762;6559228;6665017;6457820;6442166;6682777;7060932;7270498;7733924;7894530;7828955;7661664;7966837;8045859;8195659;8597452;8664180;9113654;9161394;9376216;9728603;9895097;..
World;Heat production from non-specified combustible fuels;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
