;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
COUNTRY;PRODUCT
World;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;5522390;5306003;5152410;5017049;5068656;5064281;5299937;5342745;5499678;5250372;5297088;5401016;5391051;5592771;6204858;6157471;6344796;6414308;6045752;6303814;5990494;5387308;5317277;4671627;4684432;3737168;4185555;3324369;3250434;3185099;3175427;3065057;3102618;3294009;3260627;3367393;3248962;3229542;3187875;3198355;3184689;3224937;3145141;3143309;3182281;3132340;3238547;2860062;2511120;..
World;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;22381;21575;17500;20649;26408;26584;28437;26636;27245;27256;27238;28928;30056;21320;23306;24594;29534;27445;27468;105805;87781;109349;90052;78704;70445;57172;50563;43679;40165;38403;32188;32138;30261;28097;25208;26603;24369;23367;22551;23367;23089;21825;21990;17102;16086;16474;19064;19457;19350;..
World;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;26;9;0;0;0;0;9;9;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
World;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;43;43;85;85;85;43;43;43;43;342;299;299;299;299;342;299;256;128;171;4421;4168;3745;3703;5260;5554;7321;12833;14054;19776;30211;21165;3703;1431;0;0;0;0;0;18907;23232;0;0;0;0;0;0;0;0;0;..
World;Oil products;..;..;..;..;..;..;..;..;..;..;..;8927270;9460445;9686515;8931576;9024126;9613895;9507848;9728849;9208719;8300550;7835939;7632955;7554675;7820845;8367684;8473156;8493803;8516001;8452071;8218043;8355952;8577371;8685334;8582344;8915336;9323872;9315363;9144804;9384926;9481779;9624938;9348620;9429505;9568384;9614822;9316003;8929776;8983809;8674121;8671252;8364170;8246105;8425720;8323090;8574705;8705914;9037572;9055402;8933235;..
World;Natural gas;..;..;..;..;..;..;..;..;..;..;..;5794587;6235799;6196037;6341721;7791750;7836675;7758714;8144062;8478137;8863140;8811671;9037449;8991099;9928512;10302511;10371529;10596984;10995542;11308433;11507673;12189080;12301306;13380762;13222306;13787122;15215238;14582594;14223124;14799167;15469768;15554059;15935502;16695824;16629405;16646545;16489520;16877207;17367450;17219701;17985215;17630515;16914789;18066545;17744094;17733059;18301580;18769180;20157013;20286247;..
World;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
World;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
World;Geothermal;..;..;..;..;..;..;..;..;..;..;..;10033;10565;12204;12684;14341;14961;15667;16058;18579;18794;21236;22694;25110;28506;32080;35859;36832;39734;40044;21009;21021;22635;22967;23747;45226;49306;54582;59519;72965;76349;84488;89389;98754;103000;109868;116750;125760;114241;131089;173278;201626;212790;240562;268367;328048;407242;482728;597262;646381;..
World;Solar/wind/other;..;..;..;..;..;..;..;..;..;..;..;0;0;0;108;140;189;269;402;604;1169;1468;1809;2172;2515;12593;16934;17935;18891;22451;78263;82702;87009;92287;98324;101790;105680;110239;115888;184341;191273;196581;208115;222358;238548;264850;298746;338323;402924;479337;487163;596271;650002;877126;932782;997222;1040550;1071712;1106404;1118424;..
World;Biofuels and waste;..;..;..;..;..;..;..;..;..;..;..;18262831;18642287;19020844;19343665;19816805;20126165;20424253;20739236;21108903;21454438;21755943;22082349;22361402;22772061;23181370;23458732;23837509;24206591;24737810;25965883;26324008;26547624;27420205;27528957;27842701;28140138;28175419;28457412;28668395;28681304;28403215;28625206;28941176;28910728;29126373;29241088;29050212;29044765;28891591;28847798;28533246;28411125;28481702;28368210;27945161;27620626;27825797;27616041;27793721;..
World;Heat production from non-specified combustible fuels;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
World;Electricity;..;..;..;..;..;..;..;..;..;..;..;3587917;3982542;4243323;4332110;4740988;5010044;5347314;5687312;5914076;6186856;6350965;6544498;6893957;7230614;7548847;7849367;8242438;8531942;8809283;9066511;9520444;9725571;10257038;10587476;10987499;11476107;11650419;12101741;12466867;12821782;13129768;13592134;14067192;14507709;15175327;15575342;16224216;16558508;16939633;17905790;17994880;18427194;19030659;19313666;19762230;20442482;20775602;21598156;21858849;..
World;Heat;..;..;..;..;..;..;..;..;..;..;..;417332;465812;479874;499159;1400058;611209;628322;679058;704538;2238112;2459922;2693382;2970847;3262915;3584910;3657855;3798170;3864972;3918712;2003815;1861183;1840656;5387503;5119922;4941734;4625649;4569748;4582715;4511155;4597000;4837617;4625481;4756283;4773927;4216397;4279967;4195615;4209897;4167524;4432983;4559189;4632785;4509197;4404722;4296096;4149553;4241744;4647482;4612670;..
World;Total;..;..;..;..;..;..;..;..;..;..;..;42544784;44125071;44808793;44498806;47883358;48304046;49010804;50364401;50960523;52341028;52561770;53445379;54220668;56660358;59258500;60045796;61398258;62615556;63362195;63275235;64436831;64602584;70657153;69918676;71381838;72737651;72707316;72067304;73398200;74572977;75059445;75525344;77345400;78053815;78440017;78711413;79014440;79934504;79732329;81748433;81087675;80741553;82798642;82515341;82834887;83816760;85461947;87657278;87779996;..
World;Memo: Renewables;..;..;..;..;..;..;..;..;..;..;..;18272864;18652852;19033048;19356457;19831286;20141315;20440189;20755696;21128086;21474401;21778647;22106852;22388684;22803082;23226043;23511525;23892276;24265216;24800230;26065154;26427730;26657268;27535459;27651028;27989716;28295123;28340240;28632819;28925701;28948677;28683910;28921763;29260095;29252023;29500838;29656331;29514042;29561753;29501845;29508010;29330918;29273677;29599080;29569063;29270432;29068418;29380238;29319707;29558525;..
World;Memo: Coal, peat and oil shale;..;..;..;..;..;..;..;..;..;..;..;5544771;5327578;5169911;5037698;5095064;5090865;5328374;5369381;5526924;5277628;5324326;5429944;5421108;5614091;6228164;6182065;6374330;6441754;6073220;6409619;6078275;5496667;5407355;4750340;4754877;3794339;4236118;3368048;3290608;3223511;3207615;3097196;3132879;3322115;3285836;3393996;3273331;3252910;3210426;3221723;3207778;3246762;3167131;3160411;3198366;3148813;3257611;2879518;2530470;..
