;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
COUNTRY;PRODUCT
World;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;1478013;1410945;1334640;1277975;1278748;1178718;1167635;1044585;987912;944575;925815;905095;870654;839543;807798;749607;707741;659464;621369;393057;348469;297208;235377;167508;135416;114733;79838;59902;43481;25668;13414;6556;4796;8201;10957;9410;12320;12074;11811;7734;9810;8042;4202;3200;2257;3356;41784;35965;40301;..
World;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;20;10;20;20;10;10;0;15;15;0;0;0;15;15;15;30;30;30;31;107;61;75;88;58;43;15;60;61;45;..
World;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
World;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;884;799;1473;1262;547;421;379;673;505;421;421;252;210;547;1557;799;505;337;715;1109;1545;211;253;1357;363;619;630;367;2901;441;..
World;Oil products;..;..;..;..;..;..;..;..;..;..;..;37724303;40150982;42735334;42424338;43704904;45714735;47441601;49626712;50444846;49825537;49639181;49300915;49928843;51374940;52447195;54468647;56400498;59070294;60805503;62080566;62608742;64089033;64730993;66183172;68081422;70952102;72223536;73831266;76038965;78576977;79000035;80971375;82516512;86273439;88074462;90095306;92715845;92580239;90973104;94576130;95934739;96849897;99333553;101017767;104221722;106135213;108725631;110312367;110471146;..
World;Natural gas;..;..;..;..;..;..;..;..;..;..;..;757368;782462;742405;695074;613694;585647;570878;576032;724591;756418;774937;728128;614457;690052;720202;734905;829247;972885;1018910;2370252;2438282;2466425;2490156;2466432;2466254;2486054;2317987;2516825;2540224;2417426;2476242;2633477;2820959;2958007;3100377;3148750;3383603;3646781;3272668;3735849;3910644;3781362;4008232;4053594;4119144;4317343;4457383;4839373;4962974;..
World;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
World;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
World;Geothermal;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
